Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",22.04.2021
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,Garwan Consulting s. r. o.,72200000 Softwareprogrammierung und -beratung,0.0,"88.500,00",22.04.2021
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.04.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.04.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.04.2021
Allgemeine Planungsleistungen von Gastronomieküchen inkl. Gewerbe-Kälteanlagen,XXX,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",3.0,"1,00",15.03.2021
Eskimo Eis,Unilever Austria Gmbh Eskimo,15896000 Tiefkühlprodukte,1.0,"72.135,26",08.03.2021
ISMS Projektentwicklung,Devoteam Consulting GmbH Geschäftsleitung,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1.0,"62.400,00",27.02.2021
Sprecher/Sprecherin für eLearning-Seminare,Matthias Moser Sprecher,80420000 E-Learning,3.0,"11.500,00",26.02.2021
Sprecher/Sprecherin für eLearning-Seminare,Kerstin Ruhri Zentrale,80420000 E-Learning,3.0,"15.150,00",26.02.2021
Gesundes Führen und Suchtprävention,Verein Dialog - Hilfs-und Beratungsstelle für Suchtgefährdete und deren Angehörige Sozial - und Gesundheitseinrichtung,80511000 Ausbildung des Personals,3.0,"282.990,00",26.02.2021
Gesundes Führen und Suchtprävention,ISG Personalmanagement GmbH Training & Development,80511000 Ausbildung des Personals,3.0,"195.125,00",26.02.2021
Antigen Covid Selbsttest,Mickefett Apotheke Zentrale,"33000000 Medizinische Ausrüstungen, Arzneimittel und Körperpflegeprodukte",1.0,"182.500,00",16.02.2021
Lieferung von FFP2-Masken ohne Ventil (lt. Verordnung Jänner 2021) BBG/Macison e.U.,Macison e.U. Zentrale,35113000 Schutzausrüstung,1.0,"365.400,00",09.02.2021
Lieferung von FFP2-Masken ohne Ventil (lt. Verordnung Jänner 2021) BBG/Macison e.U.,Macison e.U. Zentrale,35113000 Schutzausrüstung,1.0,"147.000,00",03.02.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.01.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.01.2021
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,5.0,"1,00",27.01.2021
IBM Power Plattform,Rahmenvereinbarung mit mehreren Unternehmen,48820000 Server,0.0,"118.803,48",26.01.2021
Managementaudit IKT-Abteilung TK,H.I. Executive Consulting GmbH H.I. Executive Consulting GmbH,79410000 Unternehmens- und Managementberatung,1.0,"99.385,00",25.01.2021
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",25.01.2021
Lieferung von FFP2-Masken ohne Ventil (lt. Verordnung Jänner 2021) BBG/Hygiene Austria,Hygiene Austria LP GmbH Vertrieb,35113000 Schutzausrüstung,1.0,"400.000,00",22.01.2021
Abrufbestellung einer Rahmenvereinbarung,eww ag,72300000 Datendienste,0.0,"80.454,00",22.01.2021
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"95.040,00",21.01.2021
Rahmenvereinbarung „Vertriebs-/Informationssysteme“ - Entwicklung und Test,Nagarro GmbH,72263000 Software-Implementierung,5.0,"1.311.161,60",21.01.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.01.2021
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.01.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.01.2021
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.01.2021
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",21.01.2021
Lieferung von FFP2-Masken ohne Ventil (lt. Verordnung Jänner 2021),bboplus GmbH bboplus,35113000 Schutzausrüstung,1.0,"98.900,00",21.01.2021
Diese SAP-Rahmenvereinbarung dient ausschließlich zur SAP-Abbildung der Abrufe (Innenwirkung),COMPAREX Austria GmbH,30234600 Flashspeicher,0.0,"60.736,85",20.01.2021
Lieferung von FFP2-Masken ohne Ventil (lt. Verordnung Jänner 2021) BBG/Hygiene Austria,Hygiene Austria LP GmbH Vertrieb,35113000 Schutzausrüstung,1.0,"80.640,00",19.01.2021
Abruf aus Rahmenvereinbarung,NTT DATA Deutschland GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"904.254,00",07.01.2021
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Fabasoft Austria GmbH,72411000 Anbieter von Internetdiensten (ISP),2.0,"67.770,00",06.01.2021
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",29.12.2020
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"89.000,00",27.12.2020
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.12.2020
Rahmenvereinbarung „Vertriebs-/Informationssysteme“,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",10.0,"1,00",23.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",23.12.2020
Abruf aus Rahmenvereinbarung,map7 Consulting e.U.,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"59.160,00",22.12.2020
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",22.12.2020
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",22.12.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.12.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.12.2020
Wartung HPE Server,EDV - Design Informationstechnologie GmbH EDV - Design Informationstechnologie GmbH,48800000 Informationssysteme und Server,4.0,"575.654,53",22.12.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.12.2020
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,Garwan Consulting s. r. o.,72200000 Softwareprogrammierung und -beratung,0.0,"88.500,00",21.12.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.12.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",21.12.2020
Abruf aus Rahmenvereinbarung,map7 Consulting e.U.,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"68.000,00",18.12.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",18.12.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",17.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72240000 Systemanalyse und Programmierung,0.0,"1,00",17.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",1.0,"1,00",14.12.2020
Bestellung 4500726436,EDV-DESIGN INFORMATIONSTECHNOLOGIE,"48780000 Softwarepaket für die System-, Speicher- und Inhaltsverwaltung",1.0,"57.107,77",09.12.2020
Bestellung 4300844198,MACIEJ WOJCIK - WIRED-UP,72227000 Beratung im Bereich Software-Integration,1.0,"81.090,00",08.12.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",08.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",08.12.2020
Citrix und Ivanti,AXIANS ICT AUSTRIA GMBH,48000000 Softwarepaket und Informationssysteme,0.0,"140.505,00",08.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",07.12.2020
Management Audit IKT-Abteilung,H.I. Executive Consulting GmbH H.I. Executive Consulting GmbH,79410000 Unternehmens- und Managementberatung,1.0,"99.385,00",03.12.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,5.0,"1,00",30.11.2020
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",27.11.2020
Neumöbelierung Bahnbistro Linz,DERENKO  GES.M.B.H. Allgemein,39100000 Möbel,1.0,"56.920,00",25.11.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,5.0,"1,00",25.11.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"1,00",23.11.2020
Cyber Defense Center,Rahmenvereinbarung mit mehreren Unternehmen,72400000 Internetdienste,5.0,"1,00",23.11.2020
Die ÖBB-Holding AG sowie die mit ihr im Sinne des § 228 (3) UGB,Rahmenvereinbarung mit mehreren Unternehmen,72260000 Dienstleistungen in Verbindung mit Software,5.0,"1,00",19.11.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",18.11.2020
Schädlingsbekämpfung und Schädlingsmonitoring,Anticimex GmbH Schädlingsbekämpfung,90920000 Hygienedienste für Gebäude und Anlagen,7.0,"24.181,50",17.11.2020
PKW-Trainings gem. ÖBB-Bildungskatalog,ARBÖ Bundesorganisations GmbH Fahrsicherheits-Zentre österreichweit,80411000 Ausbildung in Fahrschulen,3.0,"96.800,00",16.11.2020
Citrix Dienstleistungen,Bechtle GmbH,72200000 Softwareprogrammierung und -beratung,3.0,"1,00",16.11.2020
Leistungsabruf PVA Gutachten 2021,Pensionsversicherungsanstalt (PVA) Medizinische Administration,85000000 Dienstleistungen des Gesundheits- und Sozialwesens,1.0,"755.200,00",16.11.2020
Rahmenvereinbarung über HSM Infrastruktur,exceet Secure Solutions GmbH,30210000 Datenverarbeitungsgeräte (Hardware),4.0,"51.992,00",11.11.2020
Instandhaltungsarbeiten im Bahn Bistro Linz,Auböck Bau GmbH  Zentrale,45212500 Umbau von Küchen oder Restaurants,1.0,"70.004,15",09.11.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.11.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",04.11.2020
Abrufbestellung einer Rahmenvereinbarung,Deutsche Telekom Global Business,72300000 Datendienste,0.0,"68.753,36",02.11.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",30.10.2020
MIX-50 Senior 50 PT,XXX,72266000 Software-Beratung,1.0,"1,00",29.10.2020
"Kinderbetreuung an Ferien-, Fenster- und Landesfeiertagen",Österreichische Kinderfreunde Abt. Veranstaltungsservice,85312100 Betreuung in Tagesstätten,1.0,"813.374,00",28.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",27.10.2020
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Capgemini Consulting Österreich AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"249.200,00",26.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",26.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",26.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",23.10.2020
Abruf aus Rahmenvereinbarung,"Logistic Networking & Consulting GmbH, Vertrieb",30216110 Scanner für Computeranwendungen,4.0,"133.523,00",20.10.2020
Abruf aus Rahmenvereinbarung,Bechtle GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"98.600,00",20.10.2020
Bestellung 4300840306,V-IT Service GmbH,72220000 Systemberatung und technische Beratung,0.0,"94.400,00",19.10.2020
IT Dienstleistungen - Development SharePoint,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",19.10.2020
IT Dienstleistungen - Development SharePoint,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",19.10.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",19.10.2020
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",15.10.2020
Bestellung 4300840179,COMPAREX Austria GmbH,48820000 Server,1.0,"2.980.000,00",15.10.2020
Erweiterung sowie Wartung u. Hosting bestehender Plattformen edoc und Bürokasse2App,onlinegroup.at creative online systems GmbH onlinegroup.at,72210000 Programmierung von Softwarepaketen,1.0,"62.120,00",13.10.2020
Abruf aus Rahmenvereinbarung,ARTAKER Büroautomation GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",2.0,"78.520,00",12.10.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"311.502,54",12.10.2020
Hitrail Hermes VPN,HITRAIL B.V.,72400000 Internetdienste,0.0,"78.850,00",08.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",05.10.2020
Textilreinigungsservice an Standorten der ÖBB,Clesygroup GmbH Zentrale,98312000 Textilreinigung,1.0,"77.130,78",05.10.2020
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",01.10.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.10.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",01.10.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.10.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.10.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",01.10.2020
Abrufbestellung einer Rahmenvereinbarung,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"77.348,70",30.09.2020
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",29.09.2020
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0.0,"50.711,00",29.09.2020
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,Garwan Consulting s. r. o.,72200000 Softwareprogrammierung und -beratung,0.0,"88.500,00",28.09.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",28.09.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"82.000,00",22.09.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",16.09.2020
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0.0,"432.612,20",03.09.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",03.09.2020
Enterprise High Performance All Flash Storage,EDV-DESIGN INFORMATIONSTECHNOLOGIE,30233180 Flashspeichergeräte,0.0,"1.119.654,40",02.09.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.09.2020
Allgemeine Planungsleistungen von Gastronomieküchen inkl. Gewerbe-Kälteanlagen,,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",,,01.09.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",19.08.2020
Microsoft Premier Support,MICROSOFT ÖSTERREICH GMBH,72200000 Softwareprogrammierung und -beratung,1.0,"226.781,00",18.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",17.08.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",17.08.2020
Beratungsleistung für Ausschreibung,Devoteam Consulting GmbH Geschäftsleitung,79990000 Verschiedene Dienstleistungen für Unternehmen,1.0,"89.984,00",17.08.2020
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Capgemini Consulting Österreich AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"89.000,00",11.08.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.08.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",03.08.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.07.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",28.07.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",28.07.2020
Enterprise Identity & Access Management (EIAM),test zul Zahlungsempf,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,5.0,"53.650,00",27.07.2020
Abrufbestellung einer Rahmenvereinbarung,T-Systems Austria GesmbH,72300000 Datendienste,0.0,"52.235,60",27.07.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",27.07.2020
Abrufbestellung einer Rahmenvereinbarung,T-Systems Austria GesmbH,72300000 Datendienste,0.0,"68.753,36",20.07.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,5.0,"1,00",15.07.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",14.07.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",14.07.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.07.2020
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.07.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.07.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",14.07.2020
Bestellung 4300831509,Hewlett-Packard Gesellschaft mbH,48800000 Informationssysteme und Server,0.0,"166.000,00",08.07.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72240000 Systemanalyse und Programmierung,0.0,"1,00",08.07.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",07.07.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",07.07.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",07.07.2020
Großküchenutensilien,RECHBERGER  Offertabteilung,39222000 Gastronomiebedarf,1.0,"395.067,12",06.07.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.07.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",06.07.2020
